dart	200				
top	100	250	300	1800	13500
middle	100	150	300	8000	45000
bottom	90	200	475	2000	25000					
boomerang	325				
top	200	280	1300	3400	30000
middle	175	250	1100	4350	35000
bottom	100	300	1300	3200	55000					
bomb	525				
top	350	650	1200	3600	55000
middle	250	400	900	3200	25000
bottom	200	300	900	3200	35000
tack	280				
top	150	400	600	3300	45500
middle	100	225	700	3000	15000
bottom	100	100	450	3200	24000
ice	500				
top	100	350	2000	3200	34000
middle	225	350	2900	3000	20000
bottom	100	200	1750	2400	32000
glue	200				
top	200	300	2300	4500	19000
middle	100	700	2000	4000	14000
bottom	120	400	3200	2400	28000
sniper	350				
top	300	1000	2800	5000	34000
middle	300	400	3000	5600	14000
bottom	350	350	3000	4600	16000
